0: regulatory--keep-right--g1
60: warning--uneven-road--g6
61: regulatory--maximum-speed-limit-50--g1
62: regulatory--no-parking--g5
63: regulatory--turn-left--g3
64: warning--railroad-crossing-without-barriers--g1
65: regulatory--maximum-speed-limit-5--g1
66: complementary--extent-of-prohibition-area-both-direction--g1
67: warning--road-narrows-left--g2
68: warning--children--g2
69: information--parking--g5
70: regulatory--no-u-turn--g3
71: warning--y-roads--g1
72: regulatory--go-straight-or-turn-left--g1
73: regulatory--bicycles-only--g1
74: warning--texts--g2
75: regulatory--one-way-left--g1
76: warning--road-narrows-right--g2
77: regulatory--one-way-left--g3
78: regulatory--give-way-to-oncoming-traffic--g1
79: warning--double-curve-first-right--g2
80: complementary--maximum-speed-limit-30--g1
81: warning--narrow-bridge--g1
82: regulatory--turn-right-ahead--g1
83: information--parking--g3
84: regulatory--maximum-speed-limit-70--g1
85: warning--uneven-road--g2
86: regulatory--shared-path-pedestrians-and-bicycles--g1
87: regulatory--pass-on-either-side--g2
88: information--pedestrians-crossing--g1
89: regulatory--no-bicycles--g2
90: regulatory--no-pedestrians--g2
91: complementary--maximum-speed-limit-15--g1
92: complementary--go-right--g1
93: warning--roundabout--g25
94: regulatory--go-straight-or-turn-left--g2
95: regulatory--no-parking--g2
96: regulatory--u-turn--g1
97: regulatory--keep-left--g1
98: regulatory--no-stopping--g2
99: regulatory--go-straight--g1
100: regulatory--keep-right--g2
101: regulatory--no-overtaking--g1
102: regulatory--no-parking-or-no-stopping--g2
103: information--telephone--g2
104: regulatory--road-closed-to-vehicles--g3
105: regulatory--no-left-turn--g3
106: warning--other-danger--g3
107: information--airport--g1
108: regulatory--no-right-turn--g1
109: regulatory--no-left-turn--g1
110: warning--junction-with-a-side-road-perpendicular-right--g3
111: warning--railroad-crossing-without-barriers--g4
112: warning--texts--g1
113: information--end-of-built-up-area--g1
114: warning--junction-with-a-side-road-acute-left--g1
115: warning--divided-highway-ends--g1
116: regulatory--maximum-speed-limit-90--g1
117: regulatory--maximum-speed-limit-110--g1
118: regulatory--maximum-speed-limit-100--g1
119: warning--junction-with-a-side-road-perpendicular-left--g4
120: warning--hairpin-curve-left--g3
121: information--bus-stop--g1
122: complementary--chevron-left--g5
123: warning--winding-road-first-left--g1
124: regulatory--no-bicycles--g1
125: regulatory--no-heavy-goods-vehicles--g4
126: regulatory--weight-limit--g1
127: regulatory--turn-right--g2
128: warning--traffic-signals--g3
129: regulatory--no-u-turn--g1
130: warning--added-lane-right--g1
131: warning--emergency-vehicles--g1
132: complementary--keep-right--g1
133: complementary--distance--g3
134: warning--winding-road-first-right--g3
135: warning--other-danger--g1
136: warning--junction-with-a-side-road-perpendicular-right--g1
137: regulatory--stop--g10
138: complementary--both-directions--g1
139: regulatory--maximum-speed-limit-20--g1
140: regulatory--maximum-speed-limit-25--g2
141: warning--double-curve-first-right--g1
142: regulatory--no-motor-vehicles-except-motorcycles--g2
143: regulatory--maximum-speed-limit-40--g3
144: complementary--maximum-speed-limit-25--g1
145: complementary--maximum-speed-limit-55--g1
146: warning--curve-right--g2
147: complementary--maximum-speed-limit-35--g1
148: warning--turn-right--g1
149: complementary--chevron-left--g3
150: regulatory--wrong-way--g1
151: regulatory--one-way-right--g3
152: complementary--chevron-left--g2
153: warning--double-reverse-curve-right--g1
154: regulatory--turn-left--g1
155: warning--double-curve-first-left--g1
156: regulatory--maximum-speed-limit-30--g3
157: regulatory--no-bicycles--g3
158: regulatory--no-heavy-goods-vehicles--g2
159: warning--traffic-merges-right--g1
160: information--limited-access-road--g1
161: regulatory--maximum-speed-limit-55--g2
162: warning--junction-with-a-side-road-perpendicular-left--g3
163: warning--pass-left-or-right--g2
164: complementary--one-direction-right--g1
165: regulatory--turn-left--g2
166: regulatory--no-parking--g1
167: regulatory--stop--g2
168: information--pedestrians-crossing--g2
169: complementary--trucks--g1
170: complementary--tow-away-zone--g1
171: warning--roadworks--g1
172: regulatory--go-straight-or-turn-right--g1
173: regulatory--turn-left-ahead--g1
174: warning--horizontal-alignment-right--g1
175: warning--trams-crossing--g1
176: warning--double-turn-first-right--g1
177: warning--narrow-bridge--g3
178: warning--children--g1
179: warning--domestic-animals--g3
180: information--central-lane--g1
181: regulatory--road-closed--g2
182: regulatory--no-vehicles-carrying-dangerous-goods--g1
183: warning--t-roads--g2
184: information--minimum-speed-40--g1
185: warning--traffic-merges-right--g2
186: warning--traffic-signals--g2
187: regulatory--one-way-left--g2
188: warning--bus-stop-ahead--g3
189: regulatory--no-u-turn--g2
190: regulatory--no-overtaking--g4
191: regulatory--maximum-speed-limit-80--g1
192: regulatory--keep-left--g2
193: information--stairs--g1
194: warning--two-way-traffic--g1
195: regulatory--reversible-lanes--g2
196: warning--road-narrows-right--g1
197: complementary--turn-left--g2
198: warning--texts--g3
199: information--end-of-motorway--g1
200: information--motorway--g1
201: regulatory--pass-on-either-side--g1
202: complementary--chevron-right--g4
203: regulatory--no-left-turn--g2
204: complementary--maximum-speed-limit-20--g1
205: complementary--chevron-right--g5
206: warning--trucks-crossing--g1
207: regulatory--no-motor-vehicle-trailers--g1
208: warning--road-bump--g2
209: regulatory--no-stopping--g8
210: regulatory--maximum-speed-limit-led-100--g1
211: complementary--obstacle-delineator--g1
212: warning--railroad-crossing-without-barriers--g3
213: regulatory--maximum-speed-limit-10--g1
214: complementary--priority-route-at-intersection--g1
215: regulatory--maximum-speed-limit-45--g1
216: regulatory--one-way-right--g1
217: regulatory--end-of-bicycles-only--g1
218: regulatory--roundabout--g1
219: information--living-street--g1
220: complementary--except-bicycles--g1
221: warning--bicycles-crossing--g1
222: warning--pedestrian-stumble-train--g1
223: regulatory--no-turn-on-red--g1
224: regulatory--no-turn-on-red--g2
225: complementary--maximum-speed-limit-75--g1
226: warning--school-zone--g2
227: information--safety-area--g2
228: warning--turn-left--g1
229: warning--stop-ahead--g9
230: regulatory--mopeds-and-bicycles-only--g1
231: regulatory--end-of-speed-limit-zone--g1
232: complementary--distance--g2
233: warning--roadworks--g3
234: complementary--chevron-left--g4
235: regulatory--triple-lanes-turn-left-center-lane--g1
236: warning--roadworks--g4
237: regulatory--turn-right--g3
238: warning--winding-road-first-left--g2
239: complementary--maximum-speed-limit-45--g1
240: warning--flaggers-in-road--g1
241: regulatory--no-motor-vehicles--g1
242: regulatory--no-right-turn--g2
243: regulatory--left-turn-yield-on-green--g1
244: regulatory--dual-lanes-go-straight-on-right--g1
245: regulatory--road-closed--g1
246: regulatory--no-overtaking-by-heavy-goods-vehicles--g1
247: warning--pedestrians-crossing--g1
248: regulatory--no-straight-through--g1
249: complementary--chevron-right-unsure--g6
250: warning--offset-roads--g3
251: regulatory--maximum-speed-limit-120--g1
252: regulatory--go-straight-or-turn-right--g3
253: information--disabled-persons--g1
254: regulatory--radar-enforced--g1
255: warning--slippery-road-surface--g2
256: regulatory--lane-control--g1
257: information--parking--g6
258: warning--loop-270-degree--g1
259: regulatory--buses-only--g1
260: complementary--accident-area--g3
261: complementary--pass-right--g1
262: warning--dual-lanes-right-turn-or-go-straight--g1
263: warning--road-narrows--g1
264: information--children--g1
265: regulatory--end-of-prohibition--g1
266: information--bike-route--g1
267: warning--traffic-signals--g1
268: information--end-of-limited-access-road--g1
269: regulatory--no-mopeds-or-bicycles--g1
270: warning--wombat-crossing--g1
271: warning--crossroads-with-priority-to-the-right--g1
272: regulatory--maximum-speed-limit-led-80--g1
273: information--highway-interstate-route--g2
274: regulatory--stop-here-on-red-or-flashing-light--g1
275: warning--traffic-merges-left--g1
276: warning--trail-crossing--g2
277: warning--hairpin-curve-right--g1
278: regulatory--maximum-speed-limit-40--g6
279: warning--equestrians-crossing--g2
280: information--gas-station--g3
281: warning--wild-animals--g4
282: information--trailer-camping--g1
283: warning--domestic-animals--g1
284: warning--playground--g1
285: regulatory--no-stopping--g5
286: regulatory--end-of-maximum-speed-limit-70--g2
287: warning--traffic-merges-left--g2
288: regulatory--no-motorcycles--g1
289: information--hospital--g1
290: regulatory--no-stopping--g4
291: warning--falling-rocks-or-debris-right--g4
292: regulatory--shared-path-bicycles-and-pedestrians--g1
293: warning--railroad-intersection--g3
294: regulatory--minimum-safe-distance--g1
295: information--interstate-route--g1
296: warning--kangaloo-crossing--g1
297: warning--hairpin-curve-left--g1
298: regulatory--go-straight--g3
299: information--dead-end--g1
300: complementary--turn-right--g2
301: regulatory--stop-signals--g1
302: warning--falling-rocks-or-debris-right--g2
303: regulatory--passing-lane-ahead--g1
304: information--airport--g2
305: regulatory--no-parking-or-no-stopping--g1
306: regulatory--no-turn-on-red--g3
307: warning--junction-with-a-side-road-perpendicular-left--g1
308: regulatory--width-limit--g1
309: information--gas-station--g1
310: regulatory--go-straight-or-turn-left--g3
311: information--camp--g1
312: regulatory--dual-path-bicycles-and-pedestrians--g1
313: regulatory--no-motorcycles--g2
314: regulatory--no-pedestrians--g1
315: warning--railroad-crossing--g1
316: regulatory--stop-here-on-red-or-flashing-light--g2
317: regulatory--keep-right--g6
318: regulatory--no-turns--g1
319: regulatory--maximum-speed-limit-15--g1
320: regulatory--maximum-speed-limit-led-60--g1
321: warning--wild-animals--g1
322: regulatory--no-motor-vehicles-except-motorcycles--g1
323: complementary--buses--g1
324: regulatory--parking-restrictions--g2
325: regulatory--bicycles-only--g3
326: regulatory--end-of-buses-only--g1
327: complementary--one-direction-left--g1
328: regulatory--end-of-priority-road--g1
329: information--no-parking--g3
330: warning--winding-road-first-right--g1
331: information--telephone--g1
332: regulatory--truck-speed-limit-60--g1
333: warning--horizontal-alignment-left--g1
334: warning--railroad-crossing--g4
335: regulatory--no-straight-through--g2
336: warning--slippery-motorcycles--g1
337: warning--pedestrians-crossing--g12
338: information--highway-exit--g1
339: regulatory--do-not-block-intersection--g1
340: regulatory--maximum-speed-limit-100--g3
341: regulatory--end-of-maximum-speed-limit-70--g1
342: complementary--maximum-speed-limit-40--g1
343: regulatory--dual-lanes-go-straight-on-left--g1
344: warning--horizontal-alignment-right--g3
345: warning--road-widens-right--g1
346: regulatory--end-of-no-parking--g1
347: warning--pedestrians-crossing--g10
348: warning--t-roads--g1
349: regulatory--detour-left--g1
350: warning--road-narrows-left--g1
351: warning--bicycles-crossing--g2
352: regulatory--dual-lanes-turn-left-or-straight--g1
353: regulatory--do-not-stop-on-tracks--g1
354: warning--roadworks--g2
355: warning--dip--g2
356: warning--two-way-traffic--g2
357: regulatory--maximum-speed-limit-65--g2
358: warning--road-narrows--g2
359: information--parking--g2
360: regulatory--no-heavy-goods-vehicles--g5
361: regulatory--road-closed-to-vehicles--g1
362: warning--railroad-intersection--g4
363: warning--railroad-crossing-with-barriers--g4
364: warning--steep-ascent--g7
365: regulatory--turn-right-ahead--g2
366: regulatory--no-pedestrians--g3
367: regulatory--maximum-speed-limit-25--g1
368: regulatory--text-four-lines--g1
369: regulatory--no-buses--g3
370: regulatory--bicycles-only--g2
371: warning--bicycles-crossing--g3
372: warning--turn-right--g2
373: warning--uneven-roads-ahead--g1
374: regulatory--no-pedestrians-or-bicycles--g1
375: regulatory--maximum-speed-limit-50--g6
376: information--lodging--g1
377: warning--shared-lane-motorcycles-bicycles--g1
378: regulatory--dual-lanes-turn-left-no-u-turn--g1
379: regulatory--no-hawkers--g1
380: regulatory--weight-limit-with-trucks--g1
381: warning--traffic-signals--g4
382: information--parking--g45
383: regulatory--dual-path-pedestrians-and-bicycles--g1
384: regulatory--no-motor-vehicles--g4
385: warning--pedestrians-crossing--g11
386: warning--hairpin-curve-right--g4
387: regulatory--no-heavy-goods-vehicles-or-buses--g1
388: warning--accidental-area-unsure--g2
389: warning--pass-left-or-right--g1
390: warning--restricted-zone--g1
391: regulatory--turning-vehicles-yield-to-pedestrians--g1
392: regulatory--roundabout--g2
393: information--end-of-pedestrians-only--g2
394: regulatory--no-right-turn--g3
395: regulatory--dual-lanes-turn-right-or-straight--g1
396: complementary--maximum-speed-limit-50--g1
397: warning--playground--g3
398: warning--roadworks--g6
399: information--dead-end-except-bicycles--g1
